"id_pais","id_region","name"
"1","1","GBA"
"1","2","NOA"
"1","3","NEA"
"1","4","Cuyo"
"1","5","Pampeana"
"1","6","Patagonia"
"2","1","Chuquisaca"
"2","2","La Paz"
"2","3","Cochabamba"
"2","4","Oruro"
"2","5","Potosí"
"2","6","Tarija"
"2","7","Santa Cruz"
"2","8","Beni"
"2","9","Pando"
"3","1","Sudeste"
"3","2","Sur"
"3","3","Nordeste"
"3","4","Centro Oeste"
"3","5","Norte"
"4","1","Atlántica"
"4","2","Oriental"
"4","3","Central"
"4","4","Pacífica"
"4","5","Bogotá"
"5","1","Región Central"
"5","2","Chorotega"
"5","3","Pacífico Central"
"5","4","Brunca"
"5","5","Huetar Atlántica"
"5","6","Huetar Norte"
"7","1","I: Tarapacá"
"7","2","II: Antofagasta"
"7","3","III: Atacama"
"7","4","IV: Coquimbo"
"7","5","Valparaíso"
"7","6","VI: Libertador General Bernardo O´Higgins"
"7","7","VII: Maule"
"7","8","VIII: Concepción"
"7","9","IX: La Araucanía"
"7","10","X: Los Lagos"
"7","11","XI: Aysén del General Carlos Ibañez del Campo"
"7","12","XII: Magallanes y de la Antártica Chilena"
"7","13","R.M.: Región Metropolitana de Santiago"
"7","14","Los Ríos"
"7","15","XV: Arica y Parinacota"
"7","16","XVI: Ñuble"
"8","1","Cibao Norte"
"8","2","Cibao Sur"
"8","3","Cibao Nordeste"
"8","4","Cibao Noroeste"
"8","5","Valdesia"
"8","6","Enriquillo"
"8","7","El Valle"
"8","8","Yuma"
"8","9","Huigamo"
"8","10","Metropolitana"
"9","1","Sierra"
"9","2","Costa"
"9","3","Amazonia"
"9","4","Insular"
"10","1","Occidental"
"10","2","Central 1"
"10","3","Central 2"
"10","4","Oriental"
"10","5","AMSS"
"11","1","Metropolitana"
"11","2","Norte"
"11","3","Nororiente"
"11","4","Suroriente"
"11","5","Central"
"11","6","Suroccidente"
"11","7","Noroccidente"
"11","8","Peten"
"13","1","Distrito Central"
"13","2","San Pedro Sula"
"13","3","Ciudades medianas"
"13","4","Ciudades pequeñas"
"13","5","Rural"
"14","1","Norte"
"14","2","Centro"
"14","3","Sur"
"14","4","Ciudad de México"
"15","1","Managua"
"15","2","Pacífico  "
"15","3","Central"
"15","4","Atlántico"
"16","1","Oriental"
"16","2","Metropolitana"
"16","3","Central"
"16","4","Occidental"
"17","1","Asunción"
"17","2","Central Urbano"
"17","4","Resto Urbano"
"17","5","Área Rural"
"18","1","Costa Norte"
"18","2","Costa Centro"
"18","3","Costa Sur"
"18","4","Sierra Norte"
"18","5","Sierra Centro"
"18","6","Sierra Sur"
"18","7","Selva"
"18","8","Lima Metropolitana"
"19","1","Montevideo"
"19","2","Periferia"
"19","3","Interior"
"20","1","Sudeste"
"20","2","Sur"
"20","3","Nordeste"
"20","4","Centro Oeste"
"20","5","Norte"
